"siteID","genus","collectDate","abundance"
"ARIK","Ablabesmyia",2014-07-14 17:51:00,2425.33333333333
"ARIK","Ablabesmyia",2014-09-29 18:20:00,20
"ARIK","Ablabesmyia",2016-03-31 15:41:00,166.666666666667
"ARIK","Ablabesmyia",2016-07-13 15:24:00,258.666666666667
"ARIK","Ablabesmyia",2016-09-19 22:06:00,833.333333333333
"ARIK","Ablabesmyia",2017-07-12 17:27:00,24
"ARIK","Ablabesmyia",2018-07-12 13:00:00,16
"ARIK","Ablabesmyia",2019-07-10 14:27:00,8
"ARIK","Ablabesmyia",2019-10-01 19:42:00,198.666666666667
"ARIK","Acentria",2014-09-29 18:20:00,8
"ARIK","Acricotopus",2016-07-13 15:24:00,68
"ARIK","Actinobdella",2017-07-12 17:27:00,48
"ARIK","Actinobdella",2019-07-10 14:27:00,8
"ARIK","Aedes",2014-09-29 18:20:00,108
"ARIK","Aedes",2016-09-19 22:06:00,4
"ARIK","Aeshna",2014-09-29 18:20:00,4
"ARIK","Aeshna",2016-07-13 15:24:00,40
"ARIK","Agabus",2014-09-29 18:20:00,16
"ARIK","Agabus",2015-03-25 17:15:00,56
"ARIK","Anax",2015-09-29 15:29:00,4
"ARIK","Anax",2016-09-19 22:06:00,20
"ARIK","Anopheles",2014-09-29 18:20:00,4
"ARIK","Apedilum",2017-03-22 15:30:00,4
"ARIK","Argia",2015-03-25 17:15:00,12
"ARIK","Argia",2017-07-12 17:27:00,64
"ARIK","Argia",2017-10-10 15:05:00,16
"ARIK","Argia",2019-10-01 19:42:00,24
"ARIK","Arrenurus",2014-07-14 17:51:00,694.666666666667
"ARIK","Arrenurus",2014-09-29 18:20:00,2028
"ARIK","Arrenurus",2015-03-25 17:15:00,52
"ARIK","Arrenurus",2016-03-31 15:41:00,16
"ARIK","Arrenurus",2016-07-13 15:24:00,88
"ARIK","Arrenurus",2018-03-20 14:39:00,36
"ARIK","Arrenurus",2019-07-10 14:27:00,72
"ARIK","Arrenurus",2019-10-01 19:42:00,4
"ARIK","Aulodrilus",2015-03-25 17:15:00,656
"ARIK","Aulodrilus",2015-07-14 14:55:00,333.333333333333
"ARIK","Aulodrilus",2016-07-13 15:24:00,52
"ARIK","Aulodrilus",2017-03-22 15:30:00,8666.66666666667
"ARIK","Aulodrilus",2019-03-27 15:08:00,174.666666666667
"ARIK","Aulodrilus",2019-07-10 14:27:00,548
"ARIK","Baetis",2016-07-13 15:24:00,166.666666666667
"ARIK","Belostoma",2014-07-14 17:51:00,12
"ARIK","Belostoma",2015-03-25 17:15:00,12
"ARIK","Belostoma",2018-07-12 13:00:00,4
"ARIK","Belostoma",2019-07-10 14:27:00,12
"ARIK","Berosus",2014-07-14 17:51:00,170.666666666667
"ARIK","Berosus",2014-09-29 18:20:00,4
"ARIK","Berosus",2015-07-14 14:55:00,166.666666666667
"ARIK","Berosus",2015-09-29 15:29:00,841.333333333333
"ARIK","Berosus",2016-03-31 15:41:00,8
"ARIK","Berosus",2016-07-13 15:24:00,52
"ARIK","Berosus",2017-03-22 15:30:00,166.666666666667
"ARIK","Berosus",2018-10-02 13:26:00,770.666666666667
"ARIK","Berosus",2019-07-10 14:27:00,20
"ARIK","Berosus",2019-10-01 19:42:00,72
"ARIK","Bezzia/Palpomyia",2014-07-14 17:51:00,64
"ARIK","Bezzia/Palpomyia",2014-09-29 18:20:00,2012
"ARIK","Bezzia/Palpomyia",2015-03-25 17:15:00,190.666666666667
"ARIK","Bezzia/Palpomyia",2015-07-14 14:55:00,166.666666666667
"ARIK","Bezzia/Palpomyia",2015-09-29 15:29:00,32
"ARIK","Bezzia/Palpomyia",2016-03-31 15:41:00,44
"ARIK","Bezzia/Palpomyia",2016-07-13 15:24:00,56
"ARIK","Bezzia/Palpomyia",2016-09-19 22:06:00,166.666666666667
"ARIK","Bezzia/Palpomyia",2017-03-22 15:30:00,901.333333333333
"ARIK","Bezzia/Palpomyia",2017-07-12 17:27:00,398.666666666667
"ARIK","Bezzia/Palpomyia",2017-10-10 15:05:00,566.666666666667
"ARIK","Bezzia/Palpomyia",2018-03-20 14:39:00,2068
"ARIK","Bezzia/Palpomyia",2018-07-12 13:00:00,88
"ARIK","Caenis",2014-07-14 17:51:00,1196
"ARIK","Caenis",2014-09-29 18:20:00,198.666666666667
"ARIK","Caenis",2015-07-14 14:55:00,3826.66666666667
"ARIK","Caenis",2015-09-29 15:29:00,174.666666666667
"ARIK","Caenis",2016-03-31 15:41:00,16
"ARIK","Caenis",2016-07-13 15:24:00,1065.33333333333
"ARIK","Caenis",2016-09-19 22:06:00,849.333333333333
"ARIK","Caenis",2017-03-22 15:30:00,194.666666666667
"ARIK","Caenis",2017-07-12 17:27:00,12444
"ARIK","Caenis",2017-10-10 15:05:00,182.666666666667
"ARIK","Caenis",2018-07-12 13:00:00,6785.33333333333
"ARIK","Caenis",2018-10-02 13:26:00,1328
"ARIK","Caenis",2019-07-10 14:27:00,2332
"ARIK","Caenis",2019-10-01 19:42:00,7850.66666666667
"ARIK","Callibaetis",2014-07-14 17:51:00,333.333333333333
"ARIK","Callibaetis",2014-09-29 18:20:00,8
"ARIK","Callibaetis",2015-07-14 14:55:00,500
"ARIK","Callibaetis",2016-07-13 15:24:00,4
"ARIK","Callibaetis",2016-09-19 22:06:00,8
"ARIK","Callibaetis",2017-07-12 17:27:00,400
"ARIK","Callibaetis",2018-07-12 13:00:00,24
"ARIK","Callibaetis",2019-07-10 14:27:00,3692
"ARIK","Callibaetis",2019-10-01 19:42:00,64
"ARIK","Celina",2014-07-14 17:51:00,8
"ARIK","Celina",2014-09-29 18:20:00,4
"ARIK","Cenocorixa",2016-07-13 15:24:00,4
"ARIK","Ceratopogon",2014-07-14 17:51:00,166.666666666667
"ARIK","Ceratopogon",2017-03-22 15:30:00,333.333333333333
"ARIK","Chaetocladius",2019-03-27 15:08:00,194.666666666667
"ARIK","Chaetogaster",2016-09-19 22:06:00,120
"ARIK","Chaetogaster",2018-07-12 13:00:00,28
"ARIK","Chaetogaster",2019-07-10 14:27:00,240
"ARIK","Chaetogaster",2019-10-01 19:42:00,166.666666666667
"ARIK","Chironomus",2014-07-14 17:51:00,38318.6666666667
"ARIK","Chironomus",2014-09-29 18:20:00,21676
"ARIK","Chironomus",2015-03-25 17:15:00,500
"ARIK","Chironomus",2015-07-14 14:55:00,20
"ARIK","Chironomus",2015-09-29 15:29:00,524
"ARIK","Chironomus",2016-07-13 15:24:00,333.333333333333
"ARIK","Chironomus",2016-09-19 22:06:00,405.333333333333
"ARIK","Chironomus",2017-07-12 17:27:00,44
"ARIK","Chironomus",2017-10-10 15:05:00,254.666666666667
"ARIK","Chironomus",2018-03-20 14:39:00,208
"ARIK","Chironomus",2018-07-12 13:00:00,666.666666666667
"ARIK","Chironomus",2018-10-02 13:26:00,24
"ARIK","Chironomus",2019-07-10 14:27:00,536
"ARIK","Chironomus",2019-10-01 19:42:00,18656
"ARIK","Chrysops",2015-03-25 17:15:00,16
